section,top1,top2,top3,top4,top5,gender
EE6435 Mu'-Dim' Data Mo' and Its App',5,2,23,1,19,Male
EE6435 Mu'-Dim' Data Mo' and Its App',20,14,2,8,6,Male
EE6435 Mu'-Dim' Data Mo' and Its App',13,12,23,22,4,Male
EE6435 Mu'-Dim' Data Mo' and Its App',2,5,8,1,14,Male
EE6435 Mu'-Dim' Data Mo' and Its App',8,3,4,1,15,Female
EE6435 Mu'-Dim' Data Mo' and Its App',2,14,19,8,17,Male
EE6435 Mu'-Dim' Data Mo' and Its App',14,4,8,10,16,Male
EE6435 Mu'-Dim' Data Mo' and Its App',17,15,18,1,9,Female
EE6435 Mu'-Dim' Data Mo' and Its App',16,2,1,5,24,Female
EE6435 Mu'-Dim' Data Mo' and Its App',2,7,1,8,20,Male
EE6435 Mu'-Dim' Data Mo' and Its App',17,15,18,5,9,Female
EE6435 Mu'-Dim' Data Mo' and Its App',1,7,15,21,7,Male
EE6435 Mu'-Dim' Data Mo' and Its App',16,23,5,4,7,Male
EE6435 Mu'-Dim' Data Mo' and Its App',15,12,24,14,18,Male
EE6435 Mu'-Dim' Data Mo' and Its App',18,8,13,22,20,Male
EE6435 Mu'-Dim' Data Mo' and Its App',17,18,7,20,6,Female
EE6435 Mu'-Dim' Data Mo' and Its App',15,2,6,5,20,Female
EE6435 Mu'-Dim' Data Mo' and Its App',2,7,17,3,21,Female
EE6435 Mu'-Dim' Data Mo' and Its App',24,22,21,5,18,Female
EE6435 Mu'-Dim' Data Mo' and Its App',11,1,20,23,13,Male
EE6435 Mu'-Dim' Data Mo' and Its App',2,18,13,8,15,Male
EE6435 Mu'-Dim' Data Mo' and Its App',1,1,1,3,4,Female
EE6435 Mu'-Dim' Data Mo' and Its App',17,13,22,20,2,Male
EE6435 Mu'-Dim' Data Mo' and Its App',21,29,17,7,26,Female
EE6435 Mu'-Dim' Data Mo' and Its App',16,12,20,7,3,Female
EE6435 Mu'-Dim' Data Mo' and Its App',15,1,17,22,18,Female
EE6435 Mu'-Dim' Data Mo' and Its App',2,13,14,21,22,Male
EE6435 Mu'-Dim' Data Mo' and Its App',22,8,7,20,13,Female
EE6435 Mu'-Dim' Data Mo' and Its App',,,,,,
EE6435 Mu'-Dim' Data Mo' and Its App',15,14,16,6,8,Male
